field_name,operator,status,discovery_wellbore,completion_date,situated_in,supply_base,field_id,wellbore_id
GYDA,Repsol Norge AS,Shut down, 2/1-3,1980-03-29,North Sea,Tananger,43492,251
HANZ,Aker BP ASA,Approved for production, 25/10-8,1997-07-04,North Sea,Tananger,25307278,2955
HEIDRUN,Equinor Energy AS,Producing, 6507/7-2,1985-10-06,Norwegian Sea,Kristiansund,43771,464
HEIMDAL,Equinor Energy AS,Producing, 25/4-1,1972-09-12,North Sea,Dusavik,43590,359
HOD,Aker BP ASA,Producing, 2/11-2,1974-12-29,North Sea,Tananger,43485,285
HULDRA,Equinor Energy AS,Shut down, 30/2-1,1982-12-10,North Sea,Mongstad,97002,72
HYME,Equinor Energy AS,Producing, 6407/8-5 S,2009-05-26,Norwegian Sea,Kristiansund,20474183,6110
ISLAY,Total E&P UK Ltd,Producing, ?,,North Sea,,21105675,0
IVAR AASEN,Aker BP ASA,Producing, 16/1-9,2008-04-22,North Sea,Tananger,23384520,5773
JETTE,,Shut down, 25/8-17,2009-10-29,North Sea,,21613906,6185
JOHAN CASTBERG,Equinor Energy AS,Approved for production, 7220/8-1,2011-02-05,Barents Sea,Hammerfest,32017325,6484
JOHAN SVERDRUP,Equinor Energy AS,Producing, 16/2-6,2010-09-20,North Sea,Dusavik,26376286,6374
JOTUN,Vår Energi AS,Shut down, 25/8-5 S,1994-09-22,North Sea,Dusavik,43604,2390
KNARR,A/S Norske Shell,Producing, 34/3-1 S,2008-10-09,North Sea,Florø,20460988,5811
KRISTIN,Equinor Energy AS,Producing, 6406/2-3,1997-04-15,Norwegian Sea,Kristiansund,1854729,2849
KVITEBJØRN,Equinor Energy AS,Producing, 34/11-1,1994-10-25,North Sea,Mongstad,1036101,2377
LILLE-FRIGG,Aker BP ASA,Shut down, 25/2-4,1975-10-20,North Sea,,43583,356
MARIA,Wintershall Dea Norge AS,Producing, 6406/3-8,2010-10-08,Norwegian Sea,,26465170,6350
MARTIN LINGE,Equinor Energy AS,Approved for production, 30/7-6 R,1978-03-06,North Sea,Tananger/Dusavik,21675447,507
MARULK,Vår Energi AS,Producing, 6507/2-2,1992-03-16,Norwegian Sea,Sandnessjøen,18212090,1840
MIKKEL,Equinor Energy AS,Producing, 6407/6-3,1987-02-16,Norwegian Sea,Kristiansund,1630514,1024
MIME,Aker BP ASA,Shut down, 7/11-5,1982-10-06,North Sea,,43792,42
MORVIN,Equinor Energy AS,Producing, 6506/11-7,2001-07-27,Norwegian Sea,Kristiansund,4966234,3322
MURCHISON,,Shut down, ?,,North Sea,"Peterhead, Skottland",43665,0
