,Well,Depth
427,25/11-8,151.0
428,25/11-9,151.0
429,25/11-20,148.0
430,25/11-22,145.0
431,25/11-23,150.0
432,25/11-24,140.0
433,25/11-25 A,151.0
434,25/11-25 S,151.0
435,25/12-1,169.0
436,26/4-1,144.0
437,26/4-2,160.0
438,29/3-1,156.0
439,29/6-1,149.0
440,29/9-1,129.0
441,30/2-1,155.0
442,30/3-1,163.0
443,30/3-1 R,160.0
444,30/3-2,211.0
445,30/3-2 R,211.0
446,30/3-4,187.0
447,30/3-4 R,189.0
448,30/3-7 A,231.0
449,30/3-7 B,231.0
450,30/3-7 BR,231.0
451,30/3-7 S,231.0
452,30/3-9,141.0
453,30/4-1,145.0
454,30/5-1,131.0
455,30/5-2,118.0
456,30/6-12,129.0
457,30/6-13,130.0
458,30/6-13 R,130.0
459,30/6-18,133.0
460,30/6-25 S,128.0
461,30/6-7,139.0
462,30/6-27,136.0
463,30/7-1,132.0
464,30/7-2,134.0
465,30/7-3,124.0
466,30/7-4,141.0
467,30/7-5,141.0
468,30/7-7,135.0
469,30/8-1 S,122.0
470,30/8-1 SR,122.0
471,30/8-2,121.0
472,30/8-3,115.0
473,30/9-12,129.0
474,30/9-12 A,129.0
475,30/9-12 AR,133.0
476,30/9-13 S,131.0
477,30/9-13 SR,135.0
478,30/9-2,129.0
479,30/9-14,130.0
480,30/9-15,128.0
481,30/9-17,133.0
482,30/9-17 R,133.0
483,30/9-18,132.0
484,30/9-2 R,129.0
485,30/9-20 S,125.0
486,30/9-20 S,607.0
487,30/9-21 A,132.0
488,30/9-21 S,132.0
489,30/10-1,129.0
490,30/10-2,128.0
491,30/10-3,106.0
492,30/10-4,128.0
493,30/10-5,129.0
494,30/10-6,109.0
495,30/10-7,129.0
496,30/11-5,128.0
497,30/11-6 S,132.0
498,30/12-1,138.0
499,31/1-1,366.0
500,31/2-1,348.0
501,31/2-1 R,349.0
502,31/2-2,355.0
503,31/2-3,359.0
504,31/2-4,361.0
505,31/2-10,356.0
506,31/2-11,361.0
507,31/2-12,359.0
508,31/2-13 S,358.0
509,31/2-14,365.0
510,31/2-15,368.0
511,31/2-16 S,377.0
512,31/2-16 SR,378.0
513,31/2-17 A,365.0
514,31/2-17 B,365.0
515,31/2-17 BR,370.0
516,31/2-17 S,365.0
517,31/2-18,366.0
518,31/2-18 A,366.0
519,31/2-19 S,367.0
520,31/2-2 R,355.0
521,31/2-20 S,355.0
522,31/2-4 R,361.0
523,31/2-4 R2,361.0
524,31/2-5,365.0
525,31/2-5 R,358.0
526,31/2-5 R2,358.0
527,31/2-6,368.0
528,31/2-7,363.0
529,31/2-8,371.0
530,31/2-9,364.0
531,31/3-1,357.0
532,31/3-2,365.0
533,31/3-3,358.0
534,31/4-1,169.0
535,31/4-4,239.0
536,31/4-12,235.0
537,31/5-1,342.0
538,31/5-2,342.0
539,31/5-2 R,342.0
540,31/5-3,353.0
541,31/5-4 A,340.0
542,31/5-4 AR,340.0
543,31/5-4 AR2,347.0
544,31/5-4 S,340.0
545,31/5-5,348.0
546,31/5-5 R,354.0
547,31/5-6,354.0
548,31/6-1,327.0
549,31/6-2,326.0
550,31/6-2 R,326.0
551,31/6-3,326.0
552,31/6-4,327.0
553,31/6-5,327.0
554,31/6-6,336.0
555,31/6-7,325.0
556,31/6-8,325.0
557,31/6-8 R,325.0
558,32/2-1,377.0
559,32/4-1,336.0
560,33/5-1,365.0
561,33/5-2,335.0
562,33/6-1,331.0
563,33/6-2,342.0
564,33/9-10,188.0
565,33/9-11,312.0
566,33/9-15,279.0
567,33/9-16,249.0
568,33/9-17,254.0
569,33/9-18,168.0
570,33/9-18 A,168.0
571,33/9-19 A,328.0
572,33/9-19 S,328.0
573,33/9-20 S,212.0
574,33/12-7,163.0
575,33/12-8 A,168.0
576,33/12-8 S,168.0
577,34/2-1,414.0
578,34/2-2,412.0
579,34/2-2 R,412.0
580,34/2-3,414.0
581,34/2-4,424.0
582,34/4-1,402.0
583,34/4-10 R,381.0
584,34/4-2,347.0
585,34/4-3,391.0
586,34/4-5,405.0
587,34/4-6,400.0
588,34/4-7,380.0
589,34/4-8,388.0
590,34/4-10,381.0
591,34/6-1 S,407.0
592,34/7-1,353.0
593,34/7-2,271.0
594,34/7-8,312.0
595,34/7-11,216.0
596,34/7-12,216.0
597,34/7-13,308.0
598,34/7-14,173.0
599,34/7-15 S,332.0
600,34/7-16,311.0
601,34/7-16 R2,311.0
602,34/7-17,285.0
603,34/7-17 A,285.0
604,34/7-18,261.0
605,34/7-19,303.0
606,34/7-19 R,310.0
607,34/7-20,321.0
608,34/7-21,218.0
609,34/7-21 A,218.0
610,34/7-22,255.0
611,34/7-23 A,271.0
612,34/7-23 S,271.0
613,34/7-24 S,177.0
614,34/7-25 S,210.0
615,34/7-26 A,226.0
616,34/7-26 S,226.0
617,34/7-26 SR,226.0
618,34/7-27,336.0
619,34/7-28,328.0
620,34/7-29 S,274.0
621,34/7-29 SR,273.0
622,34/7-30 S,244.0
623,34/7-30 SR,238.0
624,34/7-31,233.0
625,34/7-31 A,233.0
626,34/8-1,349.0
627,34/8-4 A,333.0
628,34/8-4 AR,340.0
629,34/8-4 S,332.0
630,34/8-6,400.0
631,34/8-7,358.0
632,34/8-7 R,358.0
633,34/10-10,179.0
634,34/10-10 R,179.0
635,34/10-30,158.0
636,34/10-34,163.0
637,34/10-37,163.0
638,34/10-37 A,163.0
639,34/10-42 S,159.0
640,34/10-43 S,164.0
641,34/10-45 A,223.0
642,34/10-45 S,223.0
643,34/10-46 A,216.0
644,34/10-46 B,216.0
645,34/10-46 S,216.0
646,34/10-47 A,165.0
647,34/10-47 S,165.0
648,34/10-48 A,301.0
649,34/10-48 S,301.0
650,34/10-49 A,160.0
651,34/10-49 B,160.0
652,34/10-49 S,160.0
653,34/11-3,233.0
654,34/11-4,157.0
655,34/11-5 S,250.0
656,34/12-1,396.0
657,35/1-1,431.0
658,35/2-1,409.0
659,35/2-1 R,409.0
660,35/3-1,330.0
661,35/3-2,297.0
662,35/3-3,277.0
663,35/3-4,283.0
664,35/3-5,295.0
665,35/3-6,248.0
666,35/4-1,404.0
667,35/8-1,402.0
668,35/8-2,406.0
669,35/8-3,396.0
670,35/8-4,394.0
671,35/8-5 S,398.0
672,35/9-1,384.0
673,35/9-1 R,384.0
674,35/9-2,392.0
675,35/9-3,370.0
676,35/9-4 S,388.0
677,35/10-1,384.0
678,35/10-2,397.0
679,35/10-3,387.0
680,35/11-1,385.0
681,35/11-10 A,376.0
682,35/11-14 S,387.0
683,35/11-15 S,389.0
684,35/11-2,395.0
685,35/11-3 S,383.0
686,35/11-4,372.0
687,35/11-4 R,382.0
688,35/11-5,382.0
689,35/11-6,396.0
690,35/11-7,384.0
691,35/11-9,386.0
692,35/11-10,376.0
693,35/11-11,383.0
694,35/11-12,388.0
695,35/11-13,387.0
696,35/11-8 S,387.0
697,35/12-1,377.0
698,36/1-1,191.0
699,36/1-2,251.0
700,36/4-1,284.0
701,36/7-1,380.0
702,36/7-2,291.0
703,36/7-3,373.0
704,6201/11-1,404.0
705,6201/11-2,396.0
706,6204/10-1,211.0
707,6204/10-2,197.0
708,6204/10-2 A,197.0
709,6204/10-2 R,197.0
710,6204/11-1,222.0
711,6204/11-2,222.0
712,6205/3-1,182.0
713,6205/3-1 R,182.0
714,6302/6-1,1286.0
715,6305/1-1,863.0
716,6305/4-1,1027.0
717,6305/5-1,914.0
718,6305/7-1,883.0
719,6305/8-1,862.0
720,6305/9-1,211.0
721,6305/12-1,200.0
722,6305/12-2,169.0
723,6306/5-1,253.0
724,6306/6-1,308.0
725,6306/10-1,108.0
726,6403/6-1,1746.0
727,6403/10-1,1742.0
728,6404/11-1,1520.0
729,6405/7-1,1242.0
730,6405/10-1,952.0
731,6406/1-1,369.0
732,6406/1-2,406.0
733,6406/1-3,383.0
734,6406/1-3 R,385.0
735,6406/1-3 R2,383.0
736,6406/1-4,385.0
737,6406/2-1,302.0
738,6406/2-1 R,300.0
739,6406/2-2,296.0
740,6406/2-2 R,290.0
741,6406/2-3,396.0
742,6406/2-4 S,296.0
743,6406/2-4 SR,296.0
744,6406/2-5,364.0
745,6406/2-5 A,364.0
746,6406/2-6,325.0
747,6406/2-6 A,326.0
748,6406/2-6 R,326.0
749,6406/2-7,317.0
750,6406/3-1,278.0
751,6406/3-2,322.0
752,6406/3-3,331.0
753,6406/3-4,325.0
754,6406/3-5,333.0
755,6406/3-6,297.0
756,6406/3-7,293.0
757,6406/5-1,312.0
758,6406/6-1,293.0
759,6406/6-2,271.0
760,6406/8-1,375.0
761,6406/8-2,385.0
762,6406/9-1,333.0
763,6406/9-2,317.0
764,6406/11-1 S,341.0
765,6406/12-1 S,352.0
766,6406/12-2,357.0
767,6407/1-1,302.0
768,6407/1-2,302.0
769,6407/1-3,315.0
770,6407/1-4,311.0
771,6407/2-1,299.0
772,6407/2-2,284.0
773,6407/2-3,276.0
774,6407/4-1,247.0
775,6407/5-1,244.0
776,6407/6-1,253.0
777,6407/6-2,243.0
778,6407/6-2 R,243.0
779,6407/6-2 R2,224.0
780,6407/6-3,251.0
781,6407/6-4,243.0
782,6407/6-5,250.0
783,6407/6-6,248.0
784,6407/7-1 S,353.0
785,6407/7-2,361.0
786,6407/7-2 R,363.0
787,6407/7-3,355.0
788,6407/7-4,352.0
789,6407/7-5,351.0
790,6407/7-6,362.0
791,6407/7-7 S,360.0
792,6407/8-1,307.0
793,6407/8-2,343.0
794,6407/8-3,310.0
795,6407/8-4 A,284.0
796,6407/8-4 S,284.0
797,6407/9-1,273.0
798,6407/9-2,272.0
799,6407/9-3,304.0
800,6407/9-4,277.0
801,6407/9-5,319.0
802,6407/9-6,301.0
803,6407/9-6 R,301.0
804,6407/9-7,264.0
805,6407/9-8,252.0
806,6407/9-9,271.0
807,6407/9-10,294.0
808,6407/10-1,366.0
809,6407/10-2,359.0
810,6407/10-3,347.0
811,6407/12-1,314.0
812,6408/4-1,236.0
813,6504/5-1 S,1213.0
814,6505/10-1,710.0
815,6506/3-1,366.0
816,6506/6-1,452.0
817,6506/11-1,275.0
818,6506/11-2,320.0
819,6506/11-3,352.0
820,6506/11-4 S,325.0
821,6506/11-5 S,310.0
822,6506/11-6,403.0
823,6506/11-7,381.0
824,6506/11-8,398.0
825,6506/12-1,277.0
826,6506/12-10 A,309.0
827,6506/12-11 S,311.0
828,6506/12-11 SR,311.0
829,6506/12-2,332.0
830,6506/12-3,323.0
831,6506/12-4,282.0
832,6506/12-5,330.0
833,6506/12-6,301.0
834,6506/12-7,296.0
835,6506/12-8,325.0
836,6506/12-10,309.0
837,6506/12-9 S,340.0
838,6507/1-1,423.0
839,6507/2-1,404.0
840,6507/2-2,407.0
841,6507/2-3,378.0
842,6507/2-4,383.0
843,6507/3-1,393.0
844,6507/3-2,433.0
845,6507/3-3,416.0
846,6507/3-3 A,416.0
847,6507/3-3 B,416.0
848,6507/3-4,408.0
849,6507/3-5 S,390.0
850,6507/5-1,347.0
851,6507/5-2,365.0
852,6507/5-3,454.0
853,6507/5-4,446.0
854,6507/5-4 A,446.0
855,6507/5-5,393.0
856,6507/6-1,445.0
857,6507/6-2,333.0
858,6507/7-1,392.0
859,6507/7-11 S,297.0
