unit,NPDIDunit,Level,parentunit,country
TRYGGVASON FM,173,FORMATION,SHETLAND GP,Norway
TUBÅEN FM,174,FORMATION,REALGRUNNEN SUBGP,Norway
TUXEN FM,175,FORMATION,CROMER KNOLL GP,Norway
TY FM,176,FORMATION,ROGALAND GP,Norway
UGLE FM,178,FORMATION,GIPSDALEN GP,Norway
ULA FM,179,FORMATION,VESTLAND GP,Norway
ULV FM,181,FORMATION,BJARMELAND GP,Norway
UNDIFFERENTIATED,182,FORMATION, ,Norway
UTSIRA FM,183,FORMATION,NORDLAND GP,Norway
VADE FM,184,FORMATION,HORDALAND GP,United Kingdom
VIDAR FM,187,FORMATION,ROGALAND GP,Norway
VÅLE FM,190,FORMATION,ROGALAND GP,Norway
ÅRE FM,197,FORMATION,BÅT GP,Norway
ÅSGARD FM,198,FORMATION,CROMER KNOLL GP,Norway
ØRN FM,195,FORMATION,GIPSDALEN GP,Norway
ØRRET FM,196,FORMATION,TEMPELFJORDEN GP,Norway
